,RM,TAX,PTRATIO,LSTAT
477,5.304,666,20.2,24.91
15,5.834,307,21.0,8.47
332,6.031,304,16.9,7.83
423,6.103,666,20.2,23.29
19,5.727,307,21.0,11.28
325,6.431,287,19.6,5.08
335,6.037,224,20.2,8.01
56,6.383,313,17.3,5.77
437,6.152,666,20.2,26.45
409,6.852,666,20.2,19.78
334,6.31,224,20.2,6.75
181,6.144,193,17.8,9.45
227,7.163,307,17.4,6.36
434,6.208,666,20.2,15.17
180,7.765,193,17.8,7.56
25,5.599,307,21.0,16.51
493,5.707,391,19.2,12.01
238,6.481,300,16.6,6.36
244,5.593,330,19.1,12.5
250,6.487,330,19.1,5.9
418,5.957,666,20.2,20.62
117,6.021,432,17.8,10.3
42,6.169,233,17.9,5.81
322,6.041,287,19.6,7.7
347,6.516,351,17.9,6.36
182,7.155,193,17.8,4.82
155,6.152,403,14.7,15.02
280,7.82,216,14.9,3.76
126,5.613,188,19.1,27.26
329,6.333,430,16.9,7.34
31,6.072,307,21.0,13.04
113,6.092,432,17.8,17.09
148,5.186,403,14.7,28.32
432,6.425,666,20.2,12.03
338,6.059,224,20.2,8.51
57,6.816,256,15.1,3.95
194,6.604,265,15.6,4.38
24,5.924,307,21.0,16.3
17,5.99,307,21.0,14.67
298,6.345,358,14.8,4.97
66,5.787,337,16.1,10.24
211,5.404,277,18.6,23.98
404,5.531,666,20.2,27.38
94,6.249,270,18.2,10.59
154,6.129,403,14.7,15.12
441,6.406,666,20.2,
23,5.813,307,21.0,19.88
225,8.725,307,17.4,4.63
433,6.436,666,20.2,16.22
447,6.251,666,20.2,16.44
5,6.43,222,18.7,5.21
116,6.176,432,17.8,
45,5.682,233,17.9,10.21
16,5.935,307,21.0,6.58
468,5.926,666,20.2,18.13
360,6.398,666,20.2,7.79
3,6.998,222,18.7,2.94
405,5.683,666,20.2,22.98
185,6.153,193,17.8,13.15
60,5.741,284,19.7,13.15
110,6.195,384,20.9,13.0
321,6.376,287,19.6,6.87
265,5.56,264,13.0,10.45
29,6.674,307,21.0,11.98
262,8.398,264,13.0,5.91
478,6.185,666,20.2,18.03
26,5.813,307,21.0,14.81
7,6.172,311,15.2,19.15
492,5.983,711,20.1,13.35
108,6.474,384,20.9,12.27
37,5.85,279,19.2,8.77
157,6.943,403,14.7,4.59
472,6.437,666,20.2,14.36
118,5.872,432,17.8,15.37
114,6.254,432,17.8,10.45
175,6.546,296,16.6,5.33
192,7.178,398,15.2,2.87
272,6.538,223,18.6,7.73
144,4.903,403,14.7,29.29
373,4.906,666,20.2,34.77
383,5.52,666,20.2,
356,6.212,666,20.2,17.6
277,6.826,254,17.6,
220,6.951,307,17.4,9.71
450,6.749,666,20.2,17.44
141,5.019,437,21.2,34.41
369,6.683,666,20.2,3.73
67,5.878,345,18.9,8.1
361,6.251,666,20.2,14.19
168,6.319,403,14.7,11.1
499,5.569,391,19.2,15.1
394,5.887,666,20.2,16.35
400,5.987,666,20.2,26.77
193,6.8,265,15.6,5.03
249,6.718,330,19.1,6.56
109,6.229,384,20.9,15.55
420,6.411,666,20.2,15.02
145,6.13,403,14.7,27.8
92,6.442,270,18.2,8.16
152,5.012,403,14.7,12.12
222,6.879,307,17.4,9.93
304,7.236,222,18.4,6.93
83,6.167,281,19.0,7.51
248,6.433,330,19.1,9.52
165,6.101,403,14.7,9.81
163,8.375,403,14.7,3.32
199,6.975,402,17.0,4.56
231,7.412,307,17.4,5.25
74,6.273,398,18.7,6.78
311,6.122,304,18.4,5.98
455,6.525,666,20.2,18.13
253,8.259,330,19.1,3.54
119,5.731,432,17.8,13.61
284,7.088,285,15.3,7.85
302,6.495,329,16.1,8.67
483,5.762,666,20.2,10.42
357,6.395,666,20.2,13.27
403,5.349,666,20.2,19.77
228,7.686,307,17.4,
261,7.52,264,13.0,7.26
237,7.358,307,17.4,4.73
386,4.652,666,20.2,28.28
476,6.484,666,20.2,18.68
36,5.841,279,19.2,11.41
196,7.287,329,12.6,4.08
139,6.151,437,21.2,18.46
368,4.97,666,20.2,3.26
247,6.226,330,19.1,10.15
287,6.209,293,16.6,7.14
378,6.38,666,20.2,23.69
59,5.927,284,19.7,9.22
111,6.715,432,17.8,10.16
89,7.079,270,17.8,5.7
266,7.014,264,13.0,14.79
6,6.012,311,15.2,12.43
364,8.78,666,20.2,5.29
503,6.976,273,21.0,5.64
341,7.241,284,15.5,5.49
158,6.066,403,14.7,6.43
150,6.122,403,14.7,14.1
177,6.315,296,16.6,6.29
397,5.747,666,20.2,19.92
184,5.604,193,17.8,13.98
318,6.382,304,18.4,10.36
10,6.377,311,15.2,20.45
384,4.368,666,20.2,30.63
103,6.137,384,20.9,13.44
81,6.619,281,19.0,7.22
38,5.966,279,19.2,10.13
317,5.782,304,18.4,15.94
167,5.877,403,14.7,12.14
475,6.162,666,20.2,24.1
299,7.041,358,14.8,4.74
296,6.549,289,16.0,7.39
198,7.274,329,12.6,6.62
377,6.794,666,20.2,21.24
146,5.628,403,14.7,16.65
396,6.405,666,20.2,19.37
147,4.926,403,14.7,29.53
428,6.193,666,20.2,21.52
289,6.565,293,16.6,9.51
123,5.856,188,19.1,25.41
490,5.093,711,20.1,29.68
96,6.163,276,18.0,11.34
143,5.468,403,14.7,26.42
239,6.606,300,16.6,7.37
275,6.854,254,17.6,2.98
97,8.069,276,18.0,4.21
353,6.728,187,17.0,4.5
122,5.961,188,19.1,17.93
183,6.563,193,17.8,5.68
202,7.61,348,14.7,3.11
246,6.108,330,19.1,9.16
484,5.871,666,20.2,13.34
301,6.59,329,16.1,9.5
354,5.663,334,22.0,8.05
410,5.757,666,20.2,10.11
399,5.852,666,20.2,29.97
286,6.23,241,18.2,12.93
125,5.986,188,19.1,14.81
305,6.616,222,18.4,8.93
223,6.618,307,17.4,7.6
422,5.648,666,20.2,14.1
219,6.373,276,16.4,10.5
129,5.637,437,21.2,18.34
424,5.565,666,20.2,17.16
291,7.148,245,19.2,3.56
331,5.706,304,16.9,12.43
380,6.968,666,20.2,17.21
480,6.242,666,20.2,10.74
358,6.127,666,20.2,11.48
297,5.79,289,16.0,15.84
294,6.009,289,16.0,10.4
370,7.016,666,20.2,2.96
438,5.935,666,20.2,34.02
112,5.913,432,17.8,16.21
179,6.98,193,17.8,5.04
310,4.973,304,18.4,12.64
342,6.54,422,15.9,8.65
333,6.316,224,20.2,5.68
487,5.905,666,20.2,11.45
457,5.936,666,20.2,16.94
233,8.247,307,17.4,3.95
314,6.567,304,18.4,9.28
164,5.854,403,14.7,11.64
136,5.942,437,21.2,16.9
197,7.107,329,12.6,8.61
258,7.333,264,13.0,7.79
232,8.337,307,17.4,2.47
115,5.928,432,17.8,15.76
120,5.87,188,19.1,14.37
352,5.884,411,18.3,7.79
224,8.266,307,17.4,4.14
406,4.138,666,20.2,23.34
340,5.968,224,20.2,9.29
127,5.693,437,21.2,17.19
285,6.453,300,15.3,8.23
415,6.434,666,20.2,29.05
107,6.127,384,20.9,14.09
374,4.138,666,20.2,37.97
449,6.417,666,20.2,19.31
133,5.822,437,21.2,15.03
367,3.863,666,20.2,13.33
44,6.069,233,17.9,9.55
495,5.67,391,19.2,17.6
65,6.29,337,16.1,4.67
283,7.923,198,13.6,3.16
85,6.63,247,18.5,6.53
242,6.358,300,16.6,11.22
186,7.831,193,17.8,4.45
425,5.896,666,20.2,24.39
159,6.51,403,14.7,7.39
12,5.889,311,15.2,15.71
35,5.933,279,19.2,
28,6.495,307,21.0,12.8
170,5.875,403,14.7,14.43
142,5.403,403,14.7,26.82
402,6.404,666,20.2,20.31
349,6.939,335,19.7,
221,6.164,307,17.4,21.46
95,6.625,276,18.0,6.65
51,6.115,243,16.8,9.43
240,6.897,300,16.6,11.38
376,6.649,666,20.2,
382,5.536,666,20.2,23.6
178,6.86,296,16.6,6.92
41,6.77,233,17.9,4.84
440,5.818,666,20.2,
391,6.051,666,20.2,18.76
206,6.326,277,18.6,10.97
282,7.645,216,14.9,3.01
254,6.108,315,16.4,6.57
416,6.782,666,20.2,25.79
4,7.147,222,18.7,
256,7.454,244,15.9,3.11
453,7.393,666,20.2,16.74
100,6.727,384,20.9,9.42
226,8.04,307,17.4,
431,6.833,666,20.2,19.69
213,6.375,277,18.6,9.38
426,5.837,666,20.2,15.69
171,5.88,403,14.7,12.03
98,7.82,276,18.0,3.57
292,6.63,245,19.2,4.7
215,6.182,277,18.6,9.47
61,5.966,284,19.7,14.44
47,6.03,233,17.9,18.8
32,5.95,307,21.0,27.71
267,8.297,264,13.0,7.44
327,6.083,287,19.6,12.79
200,7.135,402,17.0,4.45
451,6.655,666,20.2,17.73
27,6.047,307,21.0,17.28
393,6.193,666,20.2,15.17
230,5.981,307,17.4,11.65
260,7.203,264,13.0,9.59
288,6.315,293,16.6,7.6
162,7.802,403,14.7,1.92
429,6.38,666,20.2,24.08
138,5.857,437,21.2,21.32
62,6.456,284,19.7,6.73
135,6.335,437,21.2,16.96
128,6.431,437,21.2,15.39
482,7.061,666,20.2,7.01
8,5.631,311,15.2,29.93
326,6.312,287,19.6,6.15
469,5.713,666,20.2,14.76
64,7.104,216,18.6,8.05
300,6.871,358,14.8,6.07
14,6.096,307,21.0,10.26
156,5.272,403,14.7,16.14
40,7.024,252,18.3,1.98
379,6.223,666,20.2,21.78
465,5.759,666,20.2,14.13
407,5.608,666,20.2,
216,5.888,276,16.4,13.51
279,6.812,216,14.9,4.85
439,5.627,666,20.2,22.88
504,6.794,273,21.0,6.48
337,5.895,224,20.2,10.56
236,6.631,307,17.4,9.54
207,5.783,277,18.6,
212,5.807,277,18.6,16.03
295,6.678,289,16.0,6.27
462,6.317,666,20.2,13.99
251,6.438,330,19.1,3.59
494,5.926,391,19.2,13.59
464,6.209,666,20.2,13.22
303,6.982,329,16.1,4.86
350,6.49,335,19.7,
269,5.92,223,18.6,13.65
201,6.162,348,14.7,7.43
161,7.489,403,14.7,1.73
43,6.211,233,17.9,7.44
217,6.642,276,16.4,9.69
401,6.343,666,20.2,20.32
190,6.951,398,15.2,5.1
309,5.972,304,18.4,9.97
259,6.842,264,13.0,6.9
105,5.851,384,20.9,16.47
53,5.998,243,16.8,8.43
389,5.39,666,20.2,20.85
1,6.421,242,17.8,9.14
446,6.341,666,20.2,17.79
488,5.454,711,20.1,18.06
49,5.602,233,17.9,16.2
419,6.824,666,20.2,22.74
80,6.727,281,19.0,5.29
205,5.891,277,18.6,10.87
34,6.096,307,21.0,20.34
430,6.348,666,20.2,17.64
263,7.327,264,13.0,11.25
427,6.202,666,20.2,14.52
366,4.963,666,20.2,14.0
91,6.405,270,17.8,8.2
339,5.985,224,20.2,9.74
479,6.229,666,20.2,13.11
52,6.511,243,16.8,5.28
345,6.014,352,18.8,10.53
264,7.206,264,13.0,8.1
241,6.095,300,16.6,12.4
13,5.949,307,21.0,8.26
315,5.705,304,18.4,11.5
88,7.007,270,17.8,5.5
387,5.0,666,20.2,31.99
273,7.691,223,18.6,6.58
166,7.929,403,14.7,3.7
328,5.868,430,16.9,9.97
498,6.019,391,19.2,12.92
134,5.757,437,21.2,17.31
306,7.42,222,18.4,6.47
486,6.114,666,20.2,14.98
319,6.113,304,18.4,12.73
243,6.393,300,16.6,5.19
54,5.888,469,21.1,14.8
363,5.803,666,20.2,14.64
50,5.963,243,16.8,13.45
461,6.376,666,20.2,14.65
174,5.859,296,16.6,9.64
445,6.459,666,20.2,23.98
189,7.185,398,15.2,5.39
502,6.12,273,21.0,9.08
463,6.513,666,20.2,10.29
187,6.782,398,15.2,6.68
169,6.402,403,14.7,11.32
58,6.145,284,19.7,6.86
48,5.399,233,17.9,30.81
344,6.874,370,17.6,4.61
235,6.086,307,17.4,10.88
252,6.957,330,19.1,3.53
21,5.965,307,21.0,13.83
313,6.266,304,18.4,7.9
459,6.081,666,20.2,14.7
160,6.25,403,14.7,5.5
276,7.267,254,17.6,6.05
443,6.485,666,20.2,18.85
191,6.739,398,15.2,4.69
385,5.277,666,20.2,30.81
293,6.127,289,16.0,8.58
413,5.155,666,20.2,20.08
343,6.696,370,17.6,7.18
257,8.704,264,13.0,5.12
308,6.635,304,18.4,4.54
149,5.597,403,14.7,21.45
130,6.458,437,21.2,12.6
151,5.404,403,14.7,13.28
359,6.112,666,20.2,12.67
99,7.416,276,18.0,6.19
372,5.875,666,20.2,8.88
87,6.121,247,18.5,
458,6.301,666,20.2,16.23
330,6.144,430,16.9,9.09
214,5.412,277,18.6,29.55
466,5.952,666,20.2,17.15
121,6.004,188,19.1,14.27
505,6.03,273,21.0,7.88
20,5.57,307,21.0,21.02
188,6.556,398,15.2,4.56
71,5.961,305,19.2,9.88
106,5.836,384,20.9,18.66
270,5.856,223,18.6,13.0
348,6.635,280,17.0,5.99
435,6.629,666,20.2,23.27
102,6.405,384,20.9,10.63
